Empire Of The Senseless  Acker Kathy
Im Very Intro You: Correspondence 1965-1996  Acker Kathy and Mckenzie Wark
Revolt Of The Cockroach People  Acosta Oscar Zeta
William S. Burroughs In The Dreamachine  Aes-Nihil Jon
Poetics of the New American Poetry  Allen Donald
Fried Shoes Cooked Diamond - Beats at Naropa  Allione Constanzo
Beat Angel: A Film About The Spirit Of Jack Kerouac  Allred Randy
The Imagination Of Gary Snyder  Almon Bert
Subterranean Kerouac: Hidden Life of Jack Kerouac  Amburn Ellis
Offbeat: Collaborating With Kerouac  Amram David
Pull My Daisy and Other Jazz Classics  Amram David (David Amram Quartet)
Free Beer: Kicks & Truth With Jack Kerouac & Other Strong Drinks  Anderson Cliff
Jack Kerouac: The Bootleg Era: An Annotated List  Anstee Rod comp
Jack Kerouac: King Of The Beats  Antonelli John
All In The Family: Gary Snyders Poetics Of Reinhabitation  Arnold Delmar Wilson Jr.
Life and Times of Allen Ginsberg  Aronson Jerry
Art Attack: A Short Cultural History of the Avant-Garde  Aronson Marc
The Beat Generation And Its Influence In The United States  Arrocha Victor M.
Beat Spirit: The Way of the Beat Writers as a Living Experience  Ash Mel
Paradise Road: Jack Kerouacs Lost Highway And My Search For America  Atkinson Jay
Henry Chinaskis Futile Road From Self-Protection To Self-Destruction In The Works Of Charles Bukowski  Àvila Javier
Mabels Santa Fe and Taos: Bohemian Legends (1900-1950)  Baca Elmo
Anaïs Nin: A Biography  Bair Deidre
Blue Hand : Beats in India  Baker Deborah
William S. Burroughs  Baker Phil
On The Left Bank: 1929-1933  Bald Wambly
First Bohemian: Life of Henry Murger  Baldick Robert
East Hill Farm: Seasons With Allen Ginsberg  Ball Gordon
A Prince Of Bohemia and Other Stories  Balzac Honore
Autobiography of Leroi Jones  Baraka Amiri
Music: Reflections On Jazz And Blues  Baraka Amiriet al
Anais Nin: Naked Under The Mask  Barille Elisabeth
Jewels In The Net: The American Buddhist Poetics Of Gary Snyder  Bartlett Karen Joy
William Everson: The Life Of Brother Antoninus  Bartlett Lee
John Reed: The Early Years in Greenwich Village  Baskin Alex
Charles Bukowski  Baskin Alex
Greenwich Village: Culture and Counterculture  Beard Rick editors
Beatdom  Beatdom Books
Gang Of Souls: A Generation Of Beat Poets  Beatty Maria
Paris and the Arts 1851-1896: From the Goncourt Journal  Becker George J. ed & trans
Jack Kerouac  Behnke Alison M.
Ragged Lion: A Tribute To Jack Micheline  Bennett John editor
Women Of The Left Bank: Paris 1900-1940  Benstock Shari
On the Level Everyday: Selected Talks on Poetry and the Art of Living  Berrigan Ted
Last of the Bohemians: Twenty Years with Leon-Paul Fargue  Beucler Andre
Jack Kerouac And The Liberal Tradition  Beveridge Thomas Gordon
Phyllis in Bohemia  Bickford L.H.
Kerouac In Ecstacy: Shamanic Expression In The Writings  Bierowski Thomas R.
The Goncourt Brothers  Billy Andre
Beatniks: A Guide To An American Subculture  Bisbort Alan
Arrested For Selling Poetry! Or You Wouldnt Want Your Children Reading This: The Historical Significance Of The Howl Obscenity Trial  Black Joel Elan
My Darling Killer: How Lucien Car Introduced Jack Kerouac Allen Ginsberg & William Burroughs Killed David Kammerer & Shaped The Beat Generation  Blank A.R.
With William Burroughs: A Report from the Bunker  Bockris Victor
Georgie May  Bodenheim Maxwell
Sex Drugs Rock & Roll  Bogosian Eric
Certificate of Incorporation Constitution By-Laws and Rules Officers Committees and Members  Bohemian Club
Carmel Today And Yesterday  Bostick Daisy
My Sisters Hand In Mine  Bowles Jane
Collected Stories & Later Writings  Bowles Paul
Henry Miller Happy Rock  Brassaï
Abortion: An Historial Romance  Brautigan Richard
Charles Bukowski  Brewer Gay
Public Intellectual Work Of Allen Ginsberg  Broderick Siobhan
Bobos in Paradise: The New Upper Class and How They Got There  Brooks David
As The Wolf Howls At My Door  Brossard Chandler
Alfred Jarry: A Pataphysical Life  Brotchie Alastair
How to Talk Dirty and Influence People  Bruce Lenny
From Bughouse Square To The Beat Generation  Brundage Slim
Brunos Weekly  Bruno Guido
Firing Line: The Hippies  Buckley William F. Jr. host  
Absence Of The Hero: Uncollected Stories And Essays Volume 2: 1946-1992  Bukowski Charles
Factotum  Bulbul Films
Bayside Bohemia  Burgess Gelett
From Greenwich Village To Taos  Burke Flannery
Hit The Road Jack  Burleigh Robert
Adding Machine (The): Selected Essays  Burroughs William S.
Job: Interviews with William S. Burroughs  Odier Daniel
Cursed From Birth : The Short Unhappy life of William S. Burroughs Jr.  Burroughs William S. Jr.
Writings of Jack Kerouac  C-SPAN
St. Marks Is Dead: The Many Lives Of Americas Hippest Street  Calhoun Ada
Exiled in Paris  Campbell James
Orphic Songs  Campana Dino 
Barfly  Cannon Group
Paul Bowles: Romantic Savage  Caponi Gena Dagel
Last Bohemia: From Montmartre to the Quartier Latin  Carco Francis
Angry Young Men: A Literary Comedy of the 1950s  Carpenter Humphrey
The Hip: Hipsters Jazz And The Beat Generation  Carr Roy
Paul Bowles : A Life  Carr Virgina Spencer
Basketball Diaries  Carroll Jim
Heart Beat: My Life With Jack And Neal  Cassady Carolyn
Collected Letters 1944-1967  Cassady Neal
Gentleman Junkie: Life & Legacy of William S. Burroughs  Caveney Graham
Teachings of Don Juan  Castaneda Carlos
Beat Generation and Counterculture : Paul Bowles William S. Burroughs Jack Kerouac  Chandarlapaty Raj
Greenwich Village  Chapin Anna Alice
Charles Bukowski: Autobiographer Gender Critic Iconoclast  Charlson David Jon
Beat Down To Your Soul  Author; Charters Ann ed.
Beats & Company : A Portrait of a Literary Generation  Charters Ann
Brother Souls: John Clellon Holmes Jack Kerouac And The Beat Generation  Charters Ann & Samuel
Some Poems/Poets: Studies In American Underground Poetry Since 1945  Charters Samuel
Millay in Greenwich Village  Cheney Anne
Ferlinghetti: A Biography  Cherkovski Neeli
Cool Scene: Twelve New Ways To Fly (Cool Scene At Cafe Bizarre)  Cherry Red Records
Bohemians: John Reed and His Friends Who Shook the World  Cheuse Alan
Acid Christ: Ken Kesey LSD And The Politics Of Ecstacy  Christensen Mark
Neal Cassady: A Biography  Christopher Tom
Buk Book: Musings On Charles Bukowski  Christy Jim
Improper Bohemians: a recreation of Gree...  Churchill Allen
Beat Poets  Ciuraru Carmela editor
French Quarter Fiction: The Newest Stories Of Americas Oldest Bohemia  Clark Joshua editor
Edward Dorn: A World Of Difference  Clark Tom
Floyd Dell: The Life and Times of an American Rebel  Clayton Douglas
Paris Vagabond  Clébert Jean Paul
Literary Pilgrims: The Santa Fe And Toas Writers Colonies 1917-1950  Cline Lynn
Mania: The Story Of The Outraged & Outrageous Lives That Launched A Cultural Revolution  Collins Ronald K.L.
Ecopoetics Of Gary Snyder  Connelly Patrick J.
White Hand Society: The Psychedelic Partnership Of Timothy Leary & Allen Ginsberg  Conners Peter
Beat Generation: Tumultuous 50s movement  Cook Bruce
Now Its Jazz: Writings on Kerouac & The Sounds  Coolidge Clark
Accidental Biography: The Selected Letters Of Gregory Corso  Corso Gregory
International Bohemia: Scenes Of Nineteenth-Century Life  Cottom Daniel
Sex Drugs And Rock N Roll: The Rise Of Americas 1960s Counterculture  Cottrell Robert C.
Exiles Return  Cowley Malcolm
Street Of Wonderful Possibilities: Whistler Wilde & Sargent In Tite Street  Cox Devon
Naked Lunch  Cronenberg David
Henry Miller: The Paris Years  Cross Robert
Toasting Kerouac: Corporation for the Celebration of Jack Kerouac in Lowell presents Lawrence Ferlinghetti & Herbert Huncke to be held at Smith-Baker Center Lowell Saturday March 21 1987  Cusimano M. (Mick)
Beat Handbook : 100 Days of Kerouactions  Dale Rick
Corpus of Clandestine Literature in France 1769-1789  Darnton Robert
Henry Miller And The Heterocosm: The General And Applied Literary Theory Of An Merican Anti-Romantic  Daugherty Francis Leo
William Burroughs/Local Stop On The Nova Express  Davis Stephen
Venus Bound: The Erotic Voyage of the Olympia Press...  De St. Jorre John
Happiest Man Alive: Biography of Henry Miller  Dearborn Mary V.
Straight From The Fridge Dad: A Dictionary Of Hipster Slang  Décharné Max
Spiral Form And Henry Millers Anecdotal Life  Decker James M.
Floyd Dell: Essays from the Friday Literary Review 1909-1913  Dell Floyd
Dinners and Nightmares  Di Prima Diane
Floating Bear: A Newsletter Numbers 1-37  Di Prima Diane & Jones LeRoi
A Little Original Sin: The Life And Work Of Jane Bowles  Dillon Millicent
Guidebook to Zen and the Art of Motorcycle Maintenance  DiSanto Ronald L. & Steele Thomas J.
Jack Kerouac : A Biography  Dittman Michael J.
Its All Kind Of Magic: The Young Ken Kesey  Dodgson Rick
Kerouac: Visions of Lowell  Dorfner John J.
By The Sound  Dorn Edward
Notes From the Underground  Dostoevsky Fyodor
Bibliography of the Works of Allen Ginsberg : October 1943 to July 1 1967  Dowden George
Rebels In Paradise: The Los Angeles Art Scene And The 1960s  Drohajowska-Philp
Young George du Maurier: Letters 1860-1867  du Maurier Daphne ed.
Trilby  Du Maurier George
Visions of Kerouac  Duberman Martin
Bukowski Born Into This  Dullaghan John dir.
Allen Ginsbergs Oral Poetry: Performance Spontaneity And The Embodiment Of The Breath  Dunn Patrick W.
Balthazar  Durrell Lawrence
Seduction: A Portrait Of Anaïs Nin  Duxler Margot Beth
Art And The Life Of Action With Other Essays  Eastman Max
Artists and Writers in Paris: The Bohemian Idea 1805-1867  Easton Malcolm
Beat Face of God : Beat Generation Writers as Spirit Guides  Edington Stephen D.
Spoken Word Revolution : Slam Hip Hop and the Poetry of a New Generation  Eleveld Mark ed
Philosophy Of The Beats  Elkholy Sharin N. ed.
Poet Be Like God: Jack Spicer And The San Francisco Renaissance  Ellingham Lewis and Killian Kevin
Beat Generation Boxed  Enlightenment
Beats: From Kerouac to Kesey an Illustrated Journey Through the Beat Generation  Evans Mike
Anaïs Nin  Evans Oliver
Archetype West: The Pacific Coast As A Literary Region  Everson William
Robert Creeley: A Biography  Faas Ekbert
Eminent Hipsters  Fagen Donald
The Beat Avant-Garde The 1950s And The Popularizing Of Zen Buddhism In The United States  Falk Jane E.
Been Down So Long It Looks Like Up To Me  Fariña Richard
Best Of Mimi & Richard Fariña  Fariña Richard and Fariña Mimi
Henry Charles Bukowski File: 140-35907  Federal Bureau Of Investigation
The Beat Generation & The Angry Young Men  Feldman Gene ed.
Beat  Felver Christopher
Henry Miller: A Life  Ferguson Robert
After the Cries of the Birds  Ferlinghetti Lawrence
Beats  Fink Larry
Erotic Life of Anais Nin  Fitch Noel Riley
Published in Paris: A Literary Chronicle  Ford Hugh
Bohemia Invaded  Ford James L.
Timothy Leary: Outside Looking In  Forte Robert editor
Understanding the Beats  Foster Edward Halsey
Out of Bohemia: A Study of Paris Student Life (1894)  Fosdick Gertrude Christian
Bohemian Paris: Picassp Modigliani Matisse And The Birth Of Modern Art  Franck Dan
Recollections of Anais Nin by her Contemporaries  Franklin Benjamin V ed.
Beatniks  Frees Paul
San Francisco Poetry Renaissance: 1955-1960  French Warren
Beat Killer  Fritz James
Identity Masculinity Femininity In The Poetry Of Gary Snyder  Gage Maura
Beat Generation: A Beginners Guide  Gair Christopher
At The End Of The Road: Jack Kerouac In Mexico  Garcia-Robles Jorge
Selected Lyrics  Gautier Theophile
Mademoiselle De Maupin  Gautier Theophile
Rolling Stone Book of the Beats: the Beat Generation and American Culture  George-Warren Holly ed.
Beatific Soul : Jack Kerouac on the Road  Gewitz Isaac 
La  Bohème (Libretto in English)  Giacosa Giuseppe & Illica Luigi
Kerouac the Word and the Way : Prose Artist as Spiritual Questor  Giamo Ben
Kenneth Rexroth  Gibson Morgan
Allen Ginsberg1926-1997  Gilmore Mikal
Airplane Dreams : Compositions from Journals  Ginsberg Allen
Birth And Death Of The Cool  Gioia Ted
Frog Prince: An Autobiography  Girodias Maurice
Grove Press The Evergreen Review And The Incorporation Of The Avant-Garde: Counter-Culture Colophon  Glass Loren
Words Without Music: A Memoir  Glass Philip
Memoirs Of Montparnesse  Glassco John
Popular Bohemia: Modernism And Urban Culture In Nineteenth Century Paris  Gluck Mary
Happiness Is A Bi-Product Of Function: William Burroughs And The American Pragmatist Tradition  Goeman James Robert III
Counterculture Through The Ages: From Abraham To Acid House  Goffman Ken
Bohemia: Where Art Angst Love and Stron  Gold Herbert
Ladies and Gentlemen Lenny Bruce!!  Goldman Albert
Changing Of The Guard: The Beat Journey From Rejection To Celebration  Goldstein Lawrence M.
Goncourt Journals 1851-1870  Goncourt Edmond & Jules
A Sense Of The Whole: Reading Gary Snyders Mountains And Rivers Without End  Gonnerman Mark editor
City Poet: Life and Times of Frank OHara  Gooch Brad
William S. Burroughs: An Annotated Bibliography Of His Works And Criticism  Goodman Michael
Henry Miller And The Romantic Tradition  Gordon William A.
Critical Essays on Henry Miller  Gottesman Ronald ed.
Unspeakable Visions: Beat Consciousness And The Textual Representation  Gottschall Claudia
Beat Hotel  Govenar Alan
Three Women : A Memoir By William Goyen  Goyen William
Jack Kerouac and the Literary Imangination  Grace Nancy M.
Mother As Muse: A Psychoanalytic Reading Of The Cathartic Works Of Kerouac Ginsberg And Corso  Graff Jeffrey David
Gary Snyder and the Pacific Rim : Creating Counter-Cultural Community  Gray Timothy
New Lyric Worlds: Gary Snyders Pacific Rim Communitas: 1930-1970  Gray Timothy George
Bohemian Versus Bourgeois: French Society and the French Man of Letters in the Nineteenth Century  Graña César
On Bohemia: The Code of the Self-Exiled  Graña César & Marigay ed.
Theophile Gautier  Grant Richard B.
Last Words: The Final Journals of William S. Burroughs November 1996 - July 1997  Grauerholz James editor
Jay DeFeo And The Rose  Green Jane
Dream At The End Of The World: Paul Bowles And The Literary Renegades In Tangier  Green Michelle
Timothy Leary: A Biography  Greenfield Robert
Beat Memories : the Photographs of Allen Ginsberg  Greenough Sarah
New Bohemia;  the combine generation  Gruen John
AsEverWas: Memoirs Of A Beat Survivor  Guthrie Hammond
Flicker  Gysin Brion
Out Of Sight: The Los Angees Art Scene Of The Sixties  Hackman William
Mabel: Biography of Mabel Dodge Luhan  Hahn Emily
Positively 4th Street: Lives And Times Of Joan Baez Bob Dylan Mimi Baez Fariña And Richard Fariña  Hajdu David
Bohemian Ethos: Questioning Work And Making A Scene On The Lower East Side  Halasz Judith Rachel 
Gary Snyder: Dimensions Of A Life  Halper Jon editor
Life of Kenneth Rexroth  Hamalian Linda
Expatriate Paris: Cultural and Literary  Hansen Arlen J.
Verlaine: Fool of God  Hanson Lawrence & Elizabeth 
Londons Latin Quarter  Hare Kenneth
William Burroughs and the Secret of Fascination  Harris Oliver  
Against The American Dream: Essays On Charles Bukowski  Harris Russell  
A novelist in the making; a collection of student themes and the novels Blix and Vandover and the brute  Hart James D. ed. 
Conversations with Jack Kerouac  Hayes Kevin J ed.
Nation Of Rebels: Why Counterculture Became Consumer Culture  Heath Josepg and Andrew Potter  
Letters from Bohemia  Hecht Ben
Allen Ginsberg  Heims Neil
Go Now  Hell Richard
Moveable Feast  Hemingway Ernest
Encyclopedia Of Beat Literature  Hemmer Kurt editor
Mañana Means Heaven  Hernandez Tim Z.
Djuna: the Life and Work of Djuna Barnes  Herring Phillip F.
THE BOHEMIAN REGISTER: An Annotated Bibliography of the Beat Literary Movement  Hickey Morgen
